method,N,K,J,rep,recovery,time_s
EM-MIP-20,250,3,10,1,0.866667,8.892
EM-MIP-20,250,3,10,2,0.966667,12.398
EM-MIP-20,250,3,10,3,0.966667,10.152
EM-MIP-20,250,3,10,4,0.933333,9.467
EM-MIP-20,250,3,10,5,0.966667,8.605
EM-MIP-20,250,3,10,6,0.933333,11.926
EM-MIP-20,250,3,10,7,0.933333,9.586
EM-MIP-20,250,3,10,8,0.966667,9.979
EM-MIP-20,250,3,10,9,0.933333,11.116
EM-MIP-20,250,3,10,10,1.000000,9.000
EM-MIP-20,250,3,10,11,1.000000,8.550
EM-MIP-20,250,3,10,12,0.866667,8.195
EM-MIP-20,250,3,10,13,0.933333,8.648
EM-MIP-20,250,3,10,14,0.933333,9.004
EM-MIP-20,250,3,10,15,1.000000,10.006
EM-MIP-20,250,3,10,16,0.833333,11.179
EM-MIP-20,250,3,10,17,1.000000,14.381
EM-MIP-20,250,3,10,18,1.000000,10.138
EM-MIP-20,250,3,10,19,0.933333,9.569
EM-MIP-20,250,3,10,20,0.800000,8.845
EM-MIP-20,250,3,10,21,0.866667,12.316
EM-MIP-20,250,3,10,22,1.000000,10.896
EM-MIP-20,250,3,10,23,1.000000,10.487
EM-MIP-20,250,3,10,24,0.933333,11.743
EM-MIP-20,250,3,10,25,0.900000,9.494
EM-MIP-20,250,3,10,26,0.933333,11.260
EM-MIP-20,250,3,10,27,0.966667,10.735
EM-MIP-20,250,3,10,28,0.700000,11.309
EM-MIP-20,250,3,10,29,0.966667,7.031
EM-MIP-20,250,3,10,30,0.900000,7.847
EM-MIP-20,250,3,10,31,0.933333,8.580
EM-MIP-20,250,3,10,32,0.966667,10.198
EM-MIP-20,250,3,10,33,0.933333,8.760
EM-MIP-20,250,3,10,34,0.933333,7.720
EM-MIP-20,250,3,10,35,0.900000,12.306
EM-MIP-20,250,3,10,36,0.833333,8.762
EM-MIP-20,250,3,10,37,0.933333,9.193
EM-MIP-20,250,3,10,38,0.933333,8.723
EM-MIP-20,250,3,10,39,0.933333,8.167
EM-MIP-20,250,3,10,40,0.866667,9.600
EM-MIP-20,250,3,10,41,0.966667,8.454
EM-MIP-20,250,3,10,42,0.966667,7.788
EM-MIP-20,250,3,10,43,0.866667,8.718
EM-MIP-20,250,3,10,44,0.933333,9.199
EM-MIP-20,250,3,10,45,1.000000,10.097
EM-MIP-20,250,3,10,46,0.966667,9.641
EM-MIP-20,250,3,10,47,0.966667,8.393
EM-MIP-20,250,3,10,48,0.966667,7.712
EM-MIP-20,250,3,10,49,0.966667,11.738
EM-MIP-20,250,3,10,50,0.933333,9.595
EM-MIP-20,250,3,10,51,0.966667,9.366
EM-MIP-20,250,3,10,52,0.933333,10.955
EM-MIP-20,250,3,10,53,0.966667,8.885
EM-MIP-20,250,3,10,54,0.933333,10.699
EM-MIP-20,250,3,10,55,0.866667,9.414
EM-MIP-20,250,3,10,56,0.933333,13.307
EM-MIP-20,250,3,10,57,0.966667,8.692
EM-MIP-20,250,3,10,58,0.966667,7.631
EM-MIP-20,250,3,10,59,1.000000,7.244
EM-MIP-20,250,3,10,60,1.000000,8.963
EM-MIP-20,250,3,10,61,0.900000,10.694
EM-MIP-20,250,3,10,62,0.933333,8.432
EM-MIP-20,250,3,10,63,1.000000,10.791
EM-MIP-20,250,3,10,64,1.000000,11.049
EM-MIP-20,250,3,10,65,1.000000,7.928
EM-MIP-20,250,3,10,66,0.733333,10.115
EM-MIP-20,250,3,10,67,0.933333,7.403
EM-MIP-20,250,3,10,68,1.000000,9.878
EM-MIP-20,250,3,10,69,0.866667,9.598
EM-MIP-20,250,3,10,70,1.000000,9.788
EM-MIP-20,250,3,10,71,0.933333,12.534
EM-MIP-20,250,3,10,72,0.966667,9.866
EM-MIP-20,250,3,10,73,0.900000,12.089
EM-MIP-20,250,3,10,74,0.866667,9.839
EM-MIP-20,250,3,10,75,1.000000,8.355
EM-MIP-20,250,3,10,76,1.000000,8.849
EM-MIP-20,250,3,10,77,0.933333,11.415
EM-MIP-20,250,3,10,78,0.966667,10.815
EM-MIP-20,250,3,10,79,0.933333,10.279
EM-MIP-20,250,3,10,80,0.933333,11.834
EM-MIP-20,250,3,10,81,0.900000,10.507
EM-MIP-20,250,3,10,82,1.000000,7.824
EM-MIP-20,250,3,10,83,0.966667,9.386
EM-MIP-20,250,3,10,84,0.966667,9.898
EM-MIP-20,250,3,10,85,0.933333,11.147
EM-MIP-20,250,3,10,86,0.866667,12.597
EM-MIP-20,250,3,10,87,0.966667,10.975
EM-MIP-20,250,3,10,88,0.966667,8.759
EM-MIP-20,250,3,10,89,1.000000,10.774
EM-MIP-20,250,3,10,90,0.966667,9.492
EM-MIP-20,250,3,10,91,0.933333,7.963
EM-MIP-20,250,3,10,92,0.800000,7.430
EM-MIP-20,250,3,10,93,0.933333,10.865
EM-MIP-20,250,3,10,94,1.000000,7.711
EM-MIP-20,250,3,10,95,1.000000,10.215
EM-MIP-20,250,3,10,96,0.966667,10.001
EM-MIP-20,250,3,10,97,0.900000,10.954
EM-MIP-20,250,3,10,98,0.900000,9.047
EM-MIP-20,250,3,10,99,0.933333,11.694
EM-MIP-20,250,3,10,100,0.966667,8.177
EM-MIP-20,500,3,10,1,0.966667,10.049
EM-MIP-20,500,3,10,2,0.900000,10.911
EM-MIP-20,500,3,10,3,1.000000,8.550
EM-MIP-20,500,3,10,4,0.966667,9.962
EM-MIP-20,500,3,10,5,0.866667,13.570
EM-MIP-20,500,3,10,6,0.966667,12.227
EM-MIP-20,500,3,10,7,1.000000,9.752
EM-MIP-20,500,3,10,8,0.966667,12.824
EM-MIP-20,500,3,10,9,1.000000,10.293
EM-MIP-20,500,3,10,10,0.833333,12.164
EM-MIP-20,500,3,10,11,0.966667,9.935
EM-MIP-20,500,3,10,12,0.933333,9.048
EM-MIP-20,500,3,10,13,1.000000,9.503
EM-MIP-20,500,3,10,14,0.866667,11.474
EM-MIP-20,500,3,10,15,0.866667,10.752
EM-MIP-20,500,3,10,16,1.000000,10.764
EM-MIP-20,500,3,10,17,1.000000,14.767
EM-MIP-20,500,3,10,18,1.000000,8.805
EM-MIP-20,500,3,10,19,0.866667,12.718
EM-MIP-20,500,3,10,20,0.966667,11.122
EM-MIP-20,500,3,10,21,0.833333,10.921
EM-MIP-20,500,3,10,22,0.900000,10.023
EM-MIP-20,500,3,10,23,0.966667,12.023
EM-MIP-20,500,3,10,24,1.000000,9.662
EM-MIP-20,500,3,10,25,0.900000,10.621
EM-MIP-20,500,3,10,26,1.000000,11.520
EM-MIP-20,500,3,10,27,0.966667,10.372
EM-MIP-20,500,3,10,28,0.933333,12.926
EM-MIP-20,500,3,10,29,0.966667,12.712
EM-MIP-20,500,3,10,30,0.966667,10.518
EM-MIP-20,500,3,10,31,0.766667,11.015
EM-MIP-20,500,3,10,32,0.833333,11.455
EM-MIP-20,500,3,10,33,0.966667,11.100
EM-MIP-20,500,3,10,34,0.966667,12.997
EM-MIP-20,500,3,10,35,1.000000,12.769
EM-MIP-20,500,3,10,36,0.966667,11.366
EM-MIP-20,500,3,10,37,0.966667,12.459
